target_gene,net_effect_in_OSCC,n_lncrnas,mean_score,supporting_lncrnas
EZH2,up,2,0.9299999999999999,"HOTAIR, TUG1"
EGFR,up,1,0.91,LINC00152
MTOR,down,1,0.91,GAS5
VEGFA,up,1,0.91,MALAT1
CDH1,down,3,0.9066666666666666,"HOTAIR, LINC00152, NEAT1"
AKT1,up,2,0.905,"LINC00152, NEAT1"
TP53,up,1,0.9,MEG3
IGF1R,up,1,0.9,H19
PIK3CA,up,1,0.88,NEAT1
MYC,up,2,0.875,"H19, PVT1"
IGF2,up,1,0.87,H19
MDM2,down,1,0.87,MEG3
MMP9,up,2,0.865,"HOTAIR, LINC00152"
CDKN1A,up,2,0.865,"GAS5, MEG3"
PTEN,down,2,0.8500000000000001,"HOTAIR, LINC00152"
MCL1,up,1,0.85,PVT1
CDKN1B,down,1,0.85,H19
BCL2,down,1,0.85,GAS5
SNAI1,up,1,0.85,HOTAIR
CDK6,up,1,0.84,MALAT1
BAX,up,1,0.84,GAS5
CCND1,up,4,0.8374999999999999,"H19, MALAT1, PVT1, TUG1"
VIM,up,1,0.83,NEAT1
VEGF,up,1,0.82,HOTAIR
PCNA,up,1,0.82,MALAT1
TWIST1,up,2,0.81,"HOTAIR, LINC00152"
CDK2,up,1,0.81,TUG1
RB1,up,1,0.8,MEG3
PTBP2,up,1,0.79,MALAT1
CDK4,down,1,0.79,MEG3
CASP3,up,1,0.79,GAS5
CDH2,up,1,0.78,HOTAIR
E2F1,up,1,0.77,MALAT1
MMP2,up,1,0.76,HOTAIR
