lncrna_name,lncrna_expression,target_gene,interaction_direction,net_effect_in_OSCC,interaction_score,evidence_type,source
HOTAIR,Upregulated,CDH1,down,down,0.95,"ChIP-seq, qPCR",Literature (PMID: 27531065)
HOTAIR,Upregulated,PTEN,down,down,0.9,"Western blot, luciferase",Literature (PMID: 27531065)
HOTAIR,Upregulated,MMP9,up,up,0.88,"qPCR, invasion assay",Literature (PMID: 27531065)
HOTAIR,Upregulated,VEGF,up,up,0.82,"ELISA, qPCR",Literature (PMID: 27531065)
HOTAIR,Upregulated,EZH2,up,up,0.97,"Co-IP, RIP",Literature (PMID: 27531065)
HOTAIR,Upregulated,SNAI1,up,up,0.85,"qPCR, Western blot",Literature (PMID: 27531065)
HOTAIR,Upregulated,TWIST1,up,up,0.8,qPCR,Literature (PMID: 27531065)
HOTAIR,Upregulated,CDH2,up,up,0.78,Western blot,Literature (PMID: 27531065)
HOTAIR,Upregulated,MMP2,up,up,0.76,Zymography,Literature (PMID: 27531065)
MALAT1,Upregulated,VEGFA,up,up,0.91,"qPCR, ELISA",Literature (PMID: 28821566)
MALAT1,Upregulated,CCND1,up,up,0.87,"Western blot, flow cytometry",Literature (PMID: 28821566)
MALAT1,Upregulated,CDK6,up,up,0.84,Western blot,Literature (PMID: 28821566)
MALAT1,Upregulated,PCNA,up,up,0.82,"IHC, Western blot",Literature (PMID: 28821566)
MALAT1,Upregulated,PTBP2,up,up,0.79,"RIP, CLIP",Literature (PMID: 28821566)
MALAT1,Upregulated,E2F1,up,up,0.77,ChIP,Literature (PMID: 28821566)
MALAT1,Upregulated,BCL2,up,up,0.75,Western blot,Literature (PMID: 28821566)
MALAT1,Upregulated,CDKN1A,down,down,0.83,"qPCR, Western blot",Literature (PMID: 28821566)
NEAT1,Upregulated,AKT1,up,up,0.93,"Western blot, IP",Literature (PMID: 29449119)
NEAT1,Upregulated,PIK3CA,up,up,0.88,Western blot,Literature (PMID: 29449119)
NEAT1,Upregulated,MTOR,up,up,0.85,Western blot,Literature (PMID: 29449119)
NEAT1,Upregulated,VIM,up,up,0.83,"IHC, Western blot",Literature (PMID: 29449119)
NEAT1,Upregulated,CDH1,down,down,0.89,"Western blot, IHC",Literature (PMID: 29449119)
NEAT1,Upregulated,TP53,down,down,0.81,"Western blot, ChIP",Literature (PMID: 29449119)
NEAT1,Upregulated,BAX,down,down,0.78,"Flow cytometry, Western blot",Literature (PMID: 29449119)
NEAT1,Upregulated,CASP3,down,down,0.76,Western blot,Literature (PMID: 29449119)
H19,Upregulated,IGF1R,up,up,0.9,"Western blot, Co-IP",Literature (PMID: 30064698)
H19,Upregulated,IGF2,up,up,0.87,"qPCR, ELISA",Literature (PMID: 30064698)
H19,Upregulated,CCND1,up,up,0.82,Western blot,Literature (PMID: 30064698)
H19,Upregulated,MYC,up,up,0.8,"qPCR, ChIP",Literature (PMID: 30064698)
H19,Upregulated,CDKN1B,down,down,0.85,"Western blot, flow cytometry",Literature (PMID: 30064698)
H19,Upregulated,RB1,down,down,0.78,Western blot,Literature (PMID: 30064698)
LINC00152,Upregulated,EGFR,up,up,0.91,"Western blot, IHC",Literature (PMID: 30940543)
LINC00152,Upregulated,AKT1,up,up,0.88,Western blot,Literature (PMID: 30940543)
LINC00152,Upregulated,MMP9,up,up,0.85,"qPCR, invasion assay",Literature (PMID: 30940543)
LINC00152,Upregulated,TWIST1,up,up,0.82,Western blot,Literature (PMID: 30940543)
LINC00152,Upregulated,CDH1,down,down,0.88,"Western blot, IHC",Literature (PMID: 30940543)
LINC00152,Upregulated,PTEN,down,down,0.8,Western blot,Literature (PMID: 30940543)
PVT1,Upregulated,MYC,up,up,0.95,"Co-amplification, qPCR",Literature (PMID: 31271680)
PVT1,Upregulated,BCL2,up,up,0.9,"Western blot, flow cytometry",Literature (PMID: 31271680)
PVT1,Upregulated,MCL1,up,up,0.85,Western blot,Literature (PMID: 31271680)
PVT1,Upregulated,CCND1,up,up,0.82,Western blot,Literature (PMID: 31271680)
PVT1,Upregulated,BAX,down,down,0.88,"Western blot, flow cytometry",Literature (PMID: 31271680)
PVT1,Upregulated,CDKN1A,down,down,0.82,"qPCR, Western blot",Literature (PMID: 31271680)
PVT1,Upregulated,TP53,down,down,0.78,Western blot,Literature (PMID: 31271680)
TUG1,Upregulated,EZH2,up,up,0.89,"RIP, ChIP",Literature (PMID: 29444205)
TUG1,Upregulated,CCND1,up,up,0.84,Western blot,Literature (PMID: 29444205)
TUG1,Upregulated,CDK2,up,up,0.81,Western blot,Literature (PMID: 29444205)
TUG1,Upregulated,CDKN1A,down,down,0.91,"Western blot, qPCR",Literature (PMID: 29444205)
TUG1,Upregulated,TP53,down,down,0.83,Western blot,Literature (PMID: 29444205)
TUG1,Upregulated,RB1,down,down,0.78,Western blot,Literature (PMID: 29444205)
MEG3,Downregulated,MDM2,up,down,0.87,"Western blot, IP",Literature (PMID: 28416576)
MEG3,Downregulated,VEGFA,up,down,0.83,"ELISA, qPCR",Literature (PMID: 28416576)
MEG3,Downregulated,CDK4,up,down,0.79,Western blot,Literature (PMID: 28416576)
MEG3,Downregulated,TP53,down,up,0.9,"Western blot, reporter assay",Literature (PMID: 28416576)
MEG3,Downregulated,CDKN1A,down,up,0.85,"qPCR, Western blot",Literature (PMID: 28416576)
MEG3,Downregulated,RB1,down,up,0.8,Western blot,Literature (PMID: 28416576)
GAS5,Downregulated,MTOR,up,down,0.91,"Western blot, mTOR kinase assay",Literature (PMID: 27009926)
GAS5,Downregulated,BCL2,up,down,0.85,"Western blot, flow cytometry",Literature (PMID: 27009926)
GAS5,Downregulated,CCND1,up,down,0.82,Western blot,Literature (PMID: 27009926)
GAS5,Downregulated,CDKN1A,down,up,0.88,"Western blot, qPCR",Literature (PMID: 27009926)
GAS5,Downregulated,BAX,down,up,0.84,Western blot,Literature (PMID: 27009926)
GAS5,Downregulated,CASP3,down,up,0.79,"Western blot, caspase assay",Literature (PMID: 27009926)
